Date,Btc_Close,Eth_Close,Ltc_Close
2020-04-14,6877.37,158.65,41.22
2020-04-15,6624.12,152.77,39.3
2020-04-16,7112.64,172.55,42.6
2020-04-17,7037.46,170.89,42.21
2020-04-18,7261.76,187.88,44.2
2020-04-19,7130.71,180.39,42.28
2020-04-20,6838.19,170.5,40.27
2020-04-21,6853.68,171.07,40.7
2020-04-22,7136.84,183.11,41.88
2020-04-23,7488.83,185.66,43.0
2020-04-24,7514.64,187.84,44.56
2020-04-25,7547.61,194.42,44.41
2020-04-26,7706.4,197.83,44.63
2020-04-27,7789.77,196.78,44.53
2020-04-28,7755.01,196.67,45.8
2020-04-29,8793.75,215.66,48.85
2020-04-30,8624.28,206.23,46.39
2020-05-01,8829.42,212.09,47.11
2020-05-02,8985.58,214.25,49.26
2020-05-03,8909.95,210.24,48.15
2020-05-04,8883.53,206.86,47.07
2020-05-05,9028.79,205.43,46.58
2020-05-06,9155.79,199.26,45.06
2020-05-07,10004.77,212.47,47.46
2020-05-08,9810.0,211.59,47.74
2020-05-09,9537.21,210.0,46.94
2020-05-10,8729.86,187.73,42.15
2020-05-11,8572.4,185.93,41.52
2020-05-12,8821.42,190.1,42.26
2020-05-13,9321.26,199.92,43.26
2020-05-14,9795.34,203.4,44.02
2020-05-15,9312.1,194.7,42.7
2020-05-16,9383.16,200.53,43.27
2020-05-17,9676.63,207.05,43.7
2020-05-18,9728.52,214.97,45.32
2020-05-19,9783.76,214.71,45.76
2020-05-20,9509.41,209.96,44.21
2020-05-21,9061.96,198.62,42.68
2020-05-22,9168.84,207.32,44.22
2020-05-23,9181.76,206.66,43.85
2020-05-24,8715.73,199.63,42.06
2020-05-25,8899.31,204.06,42.97
2020-05-26,8844.42,200.91,42.29
2020-05-27,9208.53,208.41,43.87
2020-05-28,9580.19,220.44,44.75
2020-05-29,9423.84,220.62,44.48
2020-05-30,9700.33,243.84,47.75
2020-05-31,9446.57,231.54,45.6
2020-06-01,10208.96,248.41,48.27
2020-06-02,9522.46,237.71,46.03
2020-06-03,9668.07,244.6,47.13
2020-06-04,9788.03,243.18,47.44
2020-06-05,9613.21,240.04,46.76
2020-06-06,9671.7,241.92,46.75
2020-06-07,9750.12,244.81,46.64
2020-06-08,9781.51,246.55,46.51
2020-06-09,9779.41,244.03,45.93
2020-06-10,9894.04,248.16,46.71
2020-06-11,9268.16,230.15,43.19
2020-06-12,9464.17,237.53,44.7
2020-06-13,9475.0,238.17,45.07
2020-06-14,9325.0,231.34,43.99
2020-06-15,9432.53,230.98,43.76
2020-06-16,9526.25,235.34,43.86
2020-06-17,9457.51,233.71,44.04
2020-06-18,9376.14,231.05,43.4
2020-06-19,9301.91,228.66,42.77
2020-06-20,9355.74,228.8,43.56
2020-06-21,9286.14,227.68,42.96
2020-06-22,9690.74,243.23,44.3
2020-06-23,9623.56,243.12,44.16
2020-06-24,9285.91,234.44,42.57
2020-06-25,9243.51,231.97,42.31
2020-06-26,9155.42,229.44,43.06
2020-06-27,9002.46,220.76,41.04
2020-06-28,9113.24,224.76,41.32
2020-06-29,9184.45,227.81,41.87
2020-06-30,9136.2,225.48,41.16
2020-07-01,9239.97,231.03,41.8
2020-07-02,9091.53,226.48,41.08
2020-07-03,9063.87,225.06,41.17
2020-07-04,9138.51,229.34,42.15
2020-07-05,9074.39,227.67,41.59
2020-07-06,9343.31,241.65,44.03
2020-07-07,9253.94,239.37,43.37
2020-07-08,9435.28,247.14,45.4
2020-07-09,9236.95,242.0,44.33
2020-07-10,9291.05,241.2,44.32
2020-07-11,9235.0,239.17,44.74
2020-07-12,9303.37,242.81,44.71
2020-07-13,9236.92,239.44,43.88
2020-07-14,9256.94,240.43,43.88
2020-07-15,9190.16,238.33,43.3
2020-07-16,9130.11,233.41,42.08
2020-07-17,9154.29,232.63,41.89
2020-07-18,9175.85,235.72,42.47
2020-07-19,9212.87,239.17,42.65
2020-07-20,9161.05,236.1,41.97
2020-07-21,9394.14,245.65,43.83
2020-07-22,9536.18,264.28,45.02
2020-07-23,9613.24,275.68,44.98
2020-07-24,9551.21,279.59,44.16
2020-07-25,9711.33,305.66,49.23
2020-07-26,9941.0,311.35,48.14
2020-07-27,11048.91,322.24,53.38
2020-07-28,10934.23,317.59,55.86
2020-07-29,11110.12,318.16,55.2
2020-07-30,11115.95,335.31,56.82
2020-07-31,11351.62,346.86,58.23
2020-08-01,11810.07,387.4,61.72
2020-08-02,11068.54,372.21,56.77
2020-08-03,11233.13,386.22,58.54
2020-08-04,11197.04,389.82,57.65
2020-08-05,11756.75,401.21,58.97
2020-08-06,11773.89,395.28,59.08
2020-08-07,11606.52,379.75,57.25
2020-08-08,11774.98,397.51,58.46
2020-08-09,11688.48,390.41,56.97
2020-08-10,11899.73,395.78,58.28
2020-08-11,11388.53,378.88,54.12
2020-08-12,11566.45,387.27,54.55
2020-08-13,11795.95,424.94,57.18
2020-08-14,11779.0,438.83,56.85
2020-08-15,11859.24,432.55,59.9
2020-08-16,11918.84,433.7,63.91
2020-08-17,12304.26,431.5,67.3
2020-08-18,11950.0,422.31,65.4
2020-08-19,11758.87,407.59,62.12
2020-08-20,11864.26,415.92,62.8
2020-08-21,11529.22,388.05,59.09
2020-08-22,11672.93,395.62,60.28
2020-08-23,11650.01,390.9,60.62
2020-08-24,11753.85,407.76,62.04
2020-08-25,11324.92,383.33,58.38
2020-08-26,11463.27,386.1,58.09
2020-08-27,11330.06,383.25,56.15
2020-08-28,11535.0,395.47,57.4
2020-08-29,11474.31,398.58,56.95
2020-08-30,11716.01,428.94,62.9
2020-08-31,11655.0,433.89,60.93
2020-09-01,11924.22,475.57,62.71
2020-09-02,11395.48,440.02,58.12
2020-09-03,10172.52,382.87,50.07
2020-09-04,10500.05,388.96,50.76
2020-09-05,10168.36,335.25,47.83
2020-09-06,10257.86,352.77,47.94
2020-09-07,10375.0,353.71,48.88
2020-09-08,10125.69,337.48,47.49
2020-09-09,10224.56,351.1,47.86
2020-09-10,10343.23,368.06,48.71
2020-09-11,10394.41,373.93,48.98
2020-09-12,10446.52,387.81,50.85
2020-09-13,10336.76,366.58,48.18
2020-09-14,10679.95,377.28,49.1
2020-09-15,10783.75,364.2,48.3
